"plantID"	"betaOcimene"	"alphapinene"	"DMNT"	"Hexanol"	"Hexenal"	"Hexen1olE"	"Hexen1olacetateE"	"Undecatrien3592one610dimethyl"	"Hexen1olZ"	"Undecadien2one610dimethyl"	"Aceticacidbutylester"	"Aceticacidphenylmethylester"	"Caryophyllene"	"Caryophylleneoxide"	"DLimonene"	"Petasitene"	"cyperene"	"Hexane234trimethyl"	"alphaFarnesene"	"betaMyrcene"	"deltaCadinene"	"betaElemene"	"Benzylalcohol"	"Linalool"	"betaPinene"	"alfaCopaene"	"alphaTerpineol"	"Indole"	"alphaThujene"	"GermacreneD"	"Methylsalicylate"	"Methylbenzoate"	"Hexen1olZ"	"Ylangene"	"Methylpentanoicacid"	"Octadiene"
"1A232_1_Aug2_08022018_1A232_2_Aug2_08022018"	0	3.72296	0	0	0	0	0.49007	0	6.63007	0	0	0	2.23495	0	0	2.86579	0	0	0	0	0	0	0.18995	5.27612	0	0	0	0	0	0	0	0	0	0	0	0.04915
"1A232_2_Aug2_08022018_2D206_2_Aug2_08022018"	0	6.16986	0	0	0	0	0	0	0	0	0	0	0	0	3.05253	2.1374	0	0	0	2.86995	0	0	0	1.0371	0	0	0	0	0	0	0.04483	0	0	0	0	0
"1A236_190724_812019_09"	5.93288	287.87221	2.07284	0	0	11.11453	12.66582	0	0	0	0	0	12.79269	1.74931	66.98791	11.27388	0	0	0	33.94254	0	0	0	6.90939	45.40816	1.76146	0	0	0.81709	0	1.01631	0	0	0	0	0
"1A238_July5_07282018"	0	10.25561	0	0	0	0	0	0	0	0	0.25196	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1627	0	0	0	0	0	0.61702	0	0	0	0	0
"1A239_190724_812019_10"	6.7786	293.02766	0	0	0.4711	34.24788	10.79587	0	0	0	0	0	130.2265	4.45787	33.1896	56.05869	0	0	0	17.77195	0	0	0	0	24.74944	3.91651	0	0	0.99267	0	1.29319	0	0	0	0.04703	0
"1A246_190724_812019_13"	4.09126	307.72512	0	0	0	6.26044	5.73311	0	0	0	0	0	2.04233	0	42.69487	12.27821	0	0	0	19.62738	0	0	0	5.61836	42.24887	0.32474	0	0	0.83254	0	0.8695	0	0	0	0	0
"1A253_July11_07292018"	0	6.58193	0	0	0	0	0.47239	0	0	0	0	0	0	0	0	0.42777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74124	0	0.80606	0	0.25739	0
"1A253July24_07252018"	0	1.83252	1.46607	0	0	0	0	0	0	0	0.25719	0.21461	0	0	7.81604	0	0	0	0	2.08205	0	0	0.36423	0	0	0	0	0	0	0	0	0	0	0	0	0
"1A258_190724_7282019_17"	2.2621	39.46196	0	0	1.69505	25.59591	2.76988	0	0	0.88954	0	0	0	0	4.63199	1.31842	0	0	0	3.18104	0	0	0.21869	14.23576	0	0	0	0	0	0	2.21135	0	0	0	0	0
"1B655_June28_07292018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
