index	diff	note	RI_2022	RI_pubchem	RI_diff	shortname	name	target_ion	RT	ref_ions	registered
51			732	719	13	3-methylbutan-1-ol	1-Pentanol	55	3.70	70.00-42.00\r\n89.66-83.53\r\n0-0	Registered\r\n9733-10036-10248-10660-10961-11068-11275-11546-11793-12035-12805-13065-13319-13610-13833-14330-14380-14623-14850-15173-15365-15873-16644-17163-17452-17756-18144-18182-19715-20227-20548-20739-21264-21505-24322-24578-24841-25106-25346-25857-26882-28677-29697-42241-44289-45057-58881-0-5121-18177-22785
43	1.61		836	804	32	furan-3-carbaldehyde	3-Furaldehyde	96	5.31	95.00-39.00\r\n92.91-45.16\r\n0-0	Registered\r\n9219-9492-9766-10097-10251-10760-11521-11777-12289-12547-12806-13063-13313-15875-16641-16898-17186-17415-17930-18177-21505-24552-24826-24846-25089-27905-28417-31745-52993
1	0.41		861	827	34	(E)-hex-2-enal  	2-Hexenal, (E)-	41	5.72	55.00-69.00\r\n92.00-84.00\r\n0-0	Registered\r\n9480-9742-10121-10270-10746-10905-11058-11525-12806-13065-13316-13607-13866-14325-14393-14718-14856-15105-15618-15876-16133-16649-16898-17178-17425-17889-17985-18181-19716-19970-20246-20524-20742-20998-21396-21511-24864-25139-25346-27398-31234-33026-33537-43777-51713-52482-52997-53506-0-2561-6657
25	0.06		865		865	(Z)-hex-3-en-1-ol	4-Hexen-1-ol, (Z)-	67	5.78	41.00-82.00\r\n94.20-47.64\r\n0-0	Registered\r\n9474-9733-10046-10251-10732-10812-11065-11281-11525-12805-13063-13315-13594-13852-14185-14354-14632-14854-15118-15873-16130-16649-16900-17402-17430-17732-17949-18184-18457-18689-18945-19202-19714-20228-20481-20754-21111-21258-21505-21762-22018-24321-25089-25608-33282-37125-41219-41729-46088-46595
49	0.23		879		879	hexan-1-ol	1-Hexanol	56	6.01	43.00-55.00\r\n88.33-51.97\r\n0-0	Registered\r\n9473-9730-10017-10248-10605-10858-11229-11272-11527-11777-12803-13062-13316-13575-13830-14210-14586-14601-15873-16132-16648-16900-17158-17411-17759-17933-18195-18434-18693-18946-19721-19972-20230-21517-22022-22273-22532-22786-23366-23560-23815-24322-25116-25858-26373-26626-26896-27180-27396-29700
2	0.09		884		884	3-methylbutanal oxime	Butanal, 3-methyl-, oxime	59	6.10	41.00-43.00\r\n49.00-43.00\r\n0-0	Registered\r\n9220-9476-9732-10030-10290-10628-10785-11128-11275-11784-13316-14406-14607-14851-15354-15374-16643-17674-18434-19721-21510-21766-22051-22275-23299-24834-25347-25861-26883-30722-33027-42500-45571-46850-48130-48386-49410-52483-52996-56066-58370-59138-62211-64515-0-771-4866-7172-16898-19202-22274
3	1.12		949		949	a-pinene	(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	93	7.22	91.00-92.00\r\n39.00-39.00\r\n0-0	Registered\r\n9729-10008-10244-10526-10754-11022-12802-13065-13316-13584-13826-14092-14593-14850-15873-16131-16385-16653-16899-17173-17418-17666-19457-19778-19978-20279-20503-20743-20993-22785-23394-23649-24058-24088-24323-26373-26625-26910-27143-27407-27651-27905-29442-29953-30469-30721-31007-31235-34840-35075
37	0.36		970		970	(E)-4-oxohex-2-enal  	(E)-4-Oxohex-2-enal	83	7.58	55.00-112.00\r\n59.02-16.16\r\n0-0	Registered\r\n9475-9732-10001-10242-10515-10765-11012-11523-12803-13062-13314-13583-13836-14228-14362-14638-14853-15115-16130-16386-16647-16898-17154-17668-18947-19718-19971-20228-20996-21498-21541-21778-22786-23355-23559-24325-24839-25602-26371-26626-26886-27184-27397-28713-28931-29698-29955-30476-31746-34312
33	0.07		974		974	benzaldehyde	Benzaldehyde	106	7.65	105.00-77.00\r\n93.18-83.23\r\n0-0	Registered\r\n9217-9477-9735-9997-10241-11009-12548-12840-13140-13334-13571-14594-15618-15875-16134-16385-17921-18177-18691-18958-19207-19466-19920-20000-20226-21761-22017-22785-25089-26625-27113-27386-27411-27649-30721
44	0.25		988		988	sabinene	Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-	93	7.90	91.00-77.00\r\n43.72-34.25\r\n0-0	Registered\r\n9729-10004-10242-10537-11024-12802-13064-13316-13579-13825-15873-16131-16385-16655-16900-17160-17409-17688-19457-19798-19981-20288-20510-20739-20993-21761-22785-23405-23581-24058-24098-24323-25858-26113-26370-26886-27137-27399-27651-28417-28929-29441-29697-29953-30991-31234-34854-35076
4	0.28		1004		1004	b-myrcene	.beta.-Myrcene	93	8.18	69.00-41.00\r\n79.00-84.00\r\n0-0	Registered\r\n9730-10024-10247-10693-10761-11021-12803-13065-13317-13594-13826-14092-14341-14598-14853-15105-15873-16131-16652-16900-17184-17419-17865-17934-18178-19749-19974-20264-20506-20744-20997-21250-21506-21761-23351-23581-24058-24090-24322-26369-26886-27137-27402-27651-30465-30989-31233-34826-35073-35329
