index	observer	date	plot.x	subplot.x	plant	bag	pump	end	flowers	buds	pump_id	VWC	notes	plotid	plantid	plot.y	subplot.y	water	snow	water4
1	JP	2020-07-01T00:00:00Z	1	A	257	1899-12-30T09:18:00Z	1899-12-30T09:54:00Z	1899-12-30T10:09:00Z	1	0	4	10.7	NA	1A	1A257	1	A	Addition	Normal	Addition
2	JP	2020-07-01T00:00:00Z	2	A	589	1899-12-30T09:30:00Z	1899-12-30T10:00:00Z	1899-12-30T10:15:00Z	1	0	8	2.6	NA	2A	2A589	2	A	Control	Early	Control
3	JP	2020-07-01T00:00:00Z	2	A	285	1899-12-30T09:36:00Z	1899-12-30T10:06:00Z	1899-12-30T10:21:00Z	1	0	1	2.6	NA	2A	2A285	2	A	Control	Early	Control
4	JP	2020-07-01T00:00:00Z	2	B	138	1899-12-30T09:42:00Z	1899-12-30T10:12:00Z	1899-12-30T10:27:00Z	1	0	4	4.6	NA	2B	2B138	2	B	Control	Early	Mock rainout
5	JP	2020-07-01T00:00:00Z	2	D	193	1899-12-30T09:46:00Z	1899-12-30T10:20:00Z	1899-12-30T10:35:00Z	1	1	8	5.1	NA	2D	2D193	2	D	Addition	Early	Addition
6	JP	2020-07-01T00:00:00Z	3	A	125	1899-12-30T10:08:00Z	1899-12-30T10:38:00Z	1899-12-30T10:53:00Z	1	0	1	3	NA	3A	3A125	3	A	Reduction	Normal	Reduction
7	JP	2020-07-01T00:00:00Z	3	A	278	1899-12-30T10:27:00Z	1899-12-30T10:57:00Z	1899-12-30T11:12:00Z	1	0	1	4.4	NA	3A	3A278	3	A	Reduction	Normal	Reduction
8	JP	2020-07-01T00:00:00Z	3	B	603	1899-12-30T10:31:00Z	1899-12-30T11:05:00Z	1899-12-30T11:20:00Z	1	0	8	5	NA	3B	3B603	3	B	Control	Normal	Mock rainout
9	JP	2020-07-01T00:00:00Z	5	B	16	1899-12-30T10:43:00Z	1899-12-30T11:13:00Z	1899-12-30T11:28:00Z	1	0	4	3.4	NA	5B	5B16	5	B	Control	Early	Mock rainout
10	JP	2020-07-01T00:00:00Z	5	D	242	1899-12-30T10:47:00Z	1899-12-30T11:21:00Z	1899-12-30T11:36:00Z	1	1	1	1.6	NA	5D	5D242	5	D	Control	Early	Control
11	JP	2020-07-01T00:00:00Z	5	A	185	1899-12-30T11:10:00Z	1899-12-30T11:40:00Z	1899-12-30T11:55:00Z	1	1	1	8.9	NA	5A	5A185	5	A	Addition	Early	Addition
12	ST	2020-07-01T00:00:00Z	1	A	231	1899-12-30T09:18:00Z	1899-12-30T09:48:00Z	1899-12-30T10:03:00Z	1	1	9	8.1	NA	1A	1A231	1	A	Addition	Normal	Addition
13	ST	2020-07-01T00:00:00Z	1	A	244	1899-12-30T09:27:00Z	1899-12-30T09:57:00Z	1899-12-30T10:12:00Z	1	2	5	8.2	NA	1A	1A244	1	A	Addition	Normal	Addition
14	ST	2020-07-01T00:00:00Z	1	A	250	1899-12-30T09:31:00Z	1899-12-30T10:01:00Z	1899-12-30T10:16:00Z	1	3	10	8.2	NA	1A	1A250	1	A	Addition	Normal	Addition
15	ST	2020-07-01T00:00:00Z	1	D	24	1899-12-30T09:42:00Z	1899-12-30T10:12:00Z	1899-12-30T10:27:00Z	1	1	9	3.2	NA	1D	1D24	1	D	Reduction	Normal	Reduction
16	ST	2020-07-01T00:00:00Z	1	C	64	1899-12-30T09:56:00Z	1899-12-30T10:26:00Z	1899-12-30T10:41:00Z	1	0	5	2.5	NA	1C	1C64	1	C	Control	Normal	Mock rainout
17	ST	2020-07-01T00:00:00Z	3	C	174	1899-12-30T10:26:00Z	1899-12-30T10:56:00Z	1899-12-30T11:11:00Z	1	1	10	2.6	NA	3C	3C174	3	C	Addition	Normal	Addition
18	ST	2020-07-01T00:00:00Z	3	D	886	1899-12-30T10:31:00Z	1899-12-30T11:01:00Z	1899-12-30T11:16:00Z	1	1	9	2.2	NA	3D	3D886	3	D	Control	Normal	Control
19	ST	2020-07-01T00:00:00Z	4	A	114	1899-12-30T10:35:00Z	1899-12-30T11:04:00Z	1899-12-30T11:20:00Z	1	0	5	4.2	NA	4A	4A114	4	A	Addition	Early	Addition
20	ST	2020-07-01T00:00:00Z	4	B	596	1899-12-30T10:50:00Z	1899-12-30T11:20:00Z	1899-12-30T11:35:00Z	1	2	10	4.7	NA	4B	4B596	4	B	Control	Early	Mock rainout
21	ST	2020-07-01T00:00:00Z	4	D	47	1899-12-30T10:52:00Z	1899-12-30T11:22:00Z	1899-12-30T11:37:00Z	1	0	9	3.7	NA	4D	4D47	4	D	Reduction	Early	Reduction
22	ST	2020-07-01T00:00:00Z	6	C	93	1899-12-30T11:27:00Z	1899-12-30T11:57:00Z	1899-12-30T12:12:00Z	1	0	10	3.5	NA	6C	6C93	6	C	Control	Normal	Mock rainout
23	ST	2020-07-08T00:00:00Z	6	D	46	1899-12-30T09:15:00Z	1899-12-30T09:45:00Z	1899-12-30T10:00:00Z	1	0	10	5.1	NA	6D	6D46	6	D	Addition	Normal	Addition
24	ST	2020-07-08T00:00:00Z	6	D	68	1899-12-30T09:18:00Z	1899-12-30T09:48:00Z	1899-12-30T10:03:00Z	1	0	7	6.4	NA	6D	6D68	6	D	Addition	Normal	Addition
25	ST	2020-07-08T00:00:00Z	6	D	71	1899-12-30T09:20:00Z	1899-12-30T09:50:00Z	1899-12-30T10:05:00Z	1	0	3	4.3	NA	6D	6D71	6	D	Addition	Normal	Addition
26	ST	2020-07-08T00:00:00Z	3	A	638	1899-12-30T09:40:00Z	1899-12-30T10:10:00Z	1899-12-30T10:25:00Z	1	0	10	5.3	NA	3A	3A638	3	A	Reduction	Normal	Reduction
