plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
3C163		 F |DNF|DNF	0,,	,|dead|,
3C164		 V | F |DNF	0,,	,||,died and nf?
3C165		 V | V | V 	1,9,20	,gone|tagnf|,tagnf last year
3C166		 V | V | F 	2,,	,||,
3C167		 V | F |DNF	0,,	,||,
3C168		 F |DNF|DNF	,,	,|tagnf|,
3C169		 V | V | F 	2,,	,||,
3C170		 V | V |DNF	0,,	,||,
3C171		 F |DNF|DNF	0,,	,|dead|,
3C172		 V | F |DNF	0,,	,||,
3C173		 V | V | F 	2,,	,||,
3C174		 V | V | F 	0,,	,||,died and nf?
3C175		 V | F |DNF	0,,	,||,
3C176	recheck - count stalks and rosettes	 V | V |TNF	,,	,||,
3C177		 V | V | F 	3,,	,||,
3C178		 V |DNF|DNF	0,,	,|dead|,
3C179		 V | F |DNF	0,,	,||,
3C180		 V | V |DNF	0,,	,|ts|,
3C181		 V | V |DNF	0,,	,||,
3C182		 V | F |DNF	0,,	,||,
3C183		 V | F |DNF	0,,	,||,
3C184		 V | F |DNF	1,,	,||,flowered twice?
3C185		 V | F |DNF	0,4,9	,||,check tag #
3C213		 V | V | F 	1,,	,||tagged in 2020,
3C86		 F |DNF|DNF	,,	,||,
3C94		 F |DNF|DNF	0,,	,||,check tag #
3C98		 F |DNF|DNF	0,,	,||,check tag #
3D255	recheck - count stalks and rosettes. Plant was dead for 2 years, new plant?	 F |DNF|DNF	0,,	,||not on sheet, write-in,
3D839		 V | V |DNF	0,,	,|ts|,
3D840		 V | V | F 	1,,	,|L of tag; ts|,
3D841		 V | V | V 	1,14,27	,||,
3D842		 V | V | V 	1,8,15	,||,
3D843		 V |DNF|DNF	0,,	shriveled,|dead|,
3D844		 V | V |DNF	0,,	,|ts|,died and nf?
3D845		 V | V | V 	2,15,45	,|ts|,
3D846		 V |TNF|TNF	,,	,|tagnf|,
3D847		 F | V |DNF	0,,	,|ts|,died and nf?
3D848		 V |DNF|DNF	0,,	,|dead|,
3D849		 V | V | V 	1,18,37	,|down from tag|,
3D850		 V |TNF|TNF	,,	,|tagnf|,
3D851		 V | V | F 	1,,	,||,
3D852		 F | V |NA 	,,	,||,
3D853	TAG DETACHED - changed from NF to TNF	 F |DNF|DNF	0,,	,|dead|,
3D854	854 VERY CLOSE TO 855, HARD TO TELL WHICH. recheck - count stalks and rosettes	 V | V | F 	,,	,|tagnf|,
3D855	854 VERY CLOSE TO 855, HARD TO TELL WHICH. recheck	 V | V |DNF	0,,	,|ts|,died and nf?
3D856		 F |DNF|DNF	,,	,|dead|,
3D856_20		 F |DNF|DNF	1,6,5	,||,resurrected?
3D857		 F |DNF|DNF	0,,	,|nf|,
3D858	COKE TAG	 F |DNF|DNF	,,	,|nf|,
3D858_20	NORMAL TAG. recheck - count stalks and rosettes	 F |DNF|DNF	1,19,51	,||,refound?
3D859		 V |DNF|DNF	0,,	,|nf|,
3D860		 V |DNF|DNF	0,,	,|nf|,
3D861		 V |DNF|DNF	0,,	,|nf|,
3D862		 V |DNF|DNF	,,	,|dead|,
3D863		 V | V | V 	1,18,36	,||,
3D864		 V | V | F 	1,,	,||,
3D865		 V | V | V 	1,19,39	,|down from tag|,
3D866		 V |DNF|DNF	0,,	,|nf|,
3D867		 V |TNF|TNF	,,	,|tagnf|,
3D868		 V | V | V 	2,13,21	,|ts|,
3D869		 V |DNF|DNF	0,,	,|dead|,
3D870		 V |TNF|DNF	0,,	,|tagnf|,
3D871		 V |TNF|DNF	0,,	,|tagnf|,
3D872		 V |DNF|DNF	0,,	,|dead|,
3D873		 V |DNF|DNF	0,,	,|nf|,
3D874		 F |DNF|DNF	0,,	,|dead|,
3D875		 V | V | F 	2,,	,||,
3D876		 V | V | F 	2,,	,||,
3D877		 F |DNF|DNF	0,,	,|dead|,
3D878		 F |DNF|DNF	,,	,|tagnf|,
3D879		 F |DNF|DNF	0,,	,|dead|,
3D880		 V | V |TNF	,,	,|down from tag|,
3D881		 V | V | F 	1,,	,||,
3D882		 V |DNF|DNF	0,,	,|nf|,
3D883		 V | V |DNF	0,,	,|below tag|,died and nf?
3D884		 F |DNF|DNF	0,,	,|dead|,
3D886		 V | V | F 	1,,	,||,
3D887		 V | V |TNF	,,	,||,
3D888	recheck - count stalks and rosettes	 V | V | V 	0,,	could be 2 rosettes-check,|left of tag|,died and nf?
3D889		 V | V | F 	1,,	,||,
3D890		 V | V | V 	2,20,51	,|ts|,
3D891	recheck - count stalks and rosettes	 V | V | V 	2,11,50	,||,
3D892		 V | V | F 	,,	,||,
3D893		 V | V | F 	1,,	,|R of tag|,
3D894	recheck - count stalks and rosettes	 V | V | F 	,,	plant is up from tag,||,
3D895	ATTACHED DEAD F FROM LAST YEAR. recheck - count stalks and rosettes	 V | V | F 	2,,	,||,
3D896		 V | F |DNF	0,,	,||,died and nf?
3D897		 V | V |DNF	0,,	,|ts|,
3D898		 V |DNF|DNF	0,,	,|nf|dug up, tag in a hole,
3D899		 V |DNF|DNF	0,,	,|nf|,
3D900		 V | V | V 	2,3,15	,|ts|,
4A100		 V | V |NA 	,,	,||,
4A101		 V | V | F 	1,,	,||,
4A102		 V | V | V 	2,16,42	,||,
4A103		 V |DNF|DNF	0,,	,|dead|,
4A104	Nothing on tag, changed from NF to O	 V |DNF|DNF	,,	,|dead|,
4A104_20	right of tag	 V |DNF|DNF	1,16,40	,||,resurrected?
4A105		 V | V |DNF	0,,	,||,
4A106		 V |DNF|DNF	0,,	,|dead|,
4A107		 V | V | F 	1,,	,||,
4A108		 V | V | V 	2,,	,|nf|,refound?
4A109		 V | V | F 	2,,	,||,
4A110		 V | V | F 	2,,	,||,
4A111		 V | V | V 	1,18,29	,|ts|,
4A112		 F |DNF|DNF	0,,	,|nf|,
4A113	Next to untagged flowering plant	 V | V |DNF	0,,	,||,
4A114		 V | V | F 	1,,	,|nf|,refound?
4A115		 V | V | F 	0,,	,|nf|,rosettes? flowering? refound?
4A116		 V | V | F 	,,	,||,rosettes?
4A117		 F |DNF|DNF	0,,	,|nf|,
4A118		 V |DNF|DNF	0,,	,|nf|,
4A119		 V |DNF|DNF	0,,	,|nf|,
4A120		 F |DNF|DNF	0,,	,|nf|,
4A121		 V | V | F 	1,,	,|nf|,refound?
4A122	upper right of tag	 V | V |DNF	0,,	,|upper right|,
4A123		 V | F |DNF	0,,	,||,
4A124	3 dead stalks	 V | F | F 	3,,	,||,check tag #
4A168		 F |DNF|DNF	0,,	,||,check tag #
4A60		 V |DNF|DNF	0,,	,gone|dead|,
4A61		 V | V | V 	1,24,28	,||,
4A62	Above tag	 V | V |DNF	0,,	,||,died and nf?
4A63		 F |DNF|DNF	0,,	,|nf|,
4A64		 V | V | V 	,,	,||,rosettes?
4A65		 V | V | F 	2,,	,||,
4A66		 V |DNF|DNF	,,	,||,
4A67		 V | V |DNF	0,,	,|chewed, ts|,chew death
4A68	Outside plot	 V | V | F 	0,,	,||duplicate outside plot,
4A69		 F |DNF|DNF	0,,	,|dead|,
4A70		 V |DNF|DNF	0,,	,|dead|,
4A71		 V | V |DNF	0,,	,|ts|,died and nf?
4A72		 V |DNF|DNF	0,,	,|dead|,
4A73		 V | V | V 	1,11,33	,||,
4A74	changed from TNF to O	 V |DNF|DNF	,,	,|nf|,
4A74_20		 V |DNF|DNF	2,15,40	,||,refound?
4A75		 F |DNF|DNF	0,,	,|nf|,
4A76		 F | V | V 	1,28,53	,|1 rosette dead|,
4A77		 V |DNF|DNF	0,,	,|dead|,resurrected?
4A78		 V |DNF|DNF	0,,	,|dead|,
4A79		 V | V | V 	1,19,43	,||,
4A80		 V | V | F 	1,,4	,||chewed 1 stalk,
4A81		 V |DNF|DNF	0,,	,|nf|,
4A82		 V | V | V 	2,12,52	,||,
4A83		 F |DNF|DNF	,,	,|nf|,
4A84		 V | V |TNF	,,	,||,
4A85		 V | V | F 	4,,	,||,
4A86		 V |DNF|DNF	0,,	,|nf|,
4A87		 V |DNF|DNF	0,,	,|nf|,
4A88	tiny plant	 V |DNF|DNF	2,,	,|dead|,resurrected?
4A89		 V | F |DNF	0,,	,||,
4A90		 F |DNF|DNF	,,	,|nf|,
4A91		 V | V | F 	1,,	,||,
4A92		 V | V | V 	2,19,41	,||,
4A93		 V |DNF|DNF	0,,	,|nf|,
4A94		 F |DNF|DNF	0,,	,|nf|,
4A95		 V | V | V 	1,22,27	,||,
4A96	changed from TNF to O	 V |DNF|DNF	,,	,|nf|,
4A96_20		 V |DNF|DNF	2,13,19	,||,refound?
4A97		 V | V | V 	1,19,51	,||,
4A98		 V |DNF|DNF	0,,	,gone|nf|,
4A99		 V | V | F 	1,,	,||,
4B160		 F |DNF|DNF	0,,	,|dead|,
4B161		 V |DNF|DNF	0,,	,|nf|,
4B162		 V |DNF|DNF	,,	,|nf|,
4B163		 V | V |DNF	0,,	,||,died and nf?
4B164		 F |DNF|DNF	0,,	,|nf|,
4B165	changed from NF to O	 V |DNF|DNF	,,	,|nf|,
4B165_20		 V |DNF|DNF	1,6,20	,||,refound?
4B166		 V | V |DNF	0,,	,|nf|,
4B167		 V | V |DNF	0,,	,||,died and nf?
4B168	changed from TNF to O	 V | F |DNF	,,	,||,
4B168_20		 V | F |DNF	3,3,20	,||,flowered and lived?
4B169		 V | V |DNF	0,,	,||,died and nf?
4B170	changed from NF to O	 V |DNF|DNF	,,	,|nf|,
4B170_20		 V |DNF|DNF	1,11,44	,||,refound?
4B171	moved F to 4B171_20, changed TNF to O	DNF|DNF|DNF	,,	,|nf|,
4B171_20		DNF|DNF|DNF	3,11,32	,||,refound?
4B172	XL refound tag	 V | V |NA 	,,	,|nf|,
4B173	new?	 V | F |DNF	0,,	,||,
4B174		 F |DNF|DNF	0,,	,|nf|,
4B175		 F |DNF|DNF	0,,	,|nf|Tag demolished and removed,
4B176		 V |DNF|DNF	0,,	,|nf|,
4B177		 F | V |DNF	0,,	,|chewed|,chew death
4B178		 V | V |DNF	0,,	,||,died and nf?
4B179	changed TNF to O	 V |DNF|DNF	,,	,|nf|,
4B179_20		 V |DNF|DNF	1,6,12	,||,refound?
4B180		 V |DNF|DNF	0,,	,|nf|,
4B181		 F |DNF|DNF	0,,	,|nf|,
4B182		 V |DNF|DNF	0,,	,|nf|,
4B183		 F |DNF|DNF	0,,	,|nf|,
4B184		 V | V | V 	1,6,15	,||,
4B185		 F |DNF|DNF	0,,	,|dead|,
4B186		 V |DNF|DNF	0,,	,|nf|,
4B187		 V | V |DNF	0,,	,||,died and nf?
4B188		 V | V |DNF	0,,	,|ts|,died and nf?
4B189		 F |DNF|DNF	0,,	,|nf|,
4B190		 V | V | V 	1,14,55	,||,
4B191		 V | V |DNF	0,,	,|chewed|,chew death
4B192		 F |DNF|DNF	,,	,||,
4B193		 F |DNF|DNF	0,,	,|dead|,
4B194		 V |DNF|DNF	0,,	,|nf|,
4B195		 F |DNF|DNF	0,,	,|nf|,
4B196		 F |DNF|DNF	0,,	,||,died and nf?
4B197	found tag	 V | V |TNF	,,	,|ts|,
4B198		 V | V |DNF	0,,	,||,
4B199		 F |DNF|DNF	0,,	,|nf|,
4B200		DNF|DNF|DNF	0,,	,|nf|,
4B201	moved V to 4B201_20	 V |DNF|DNF	,,	,|nf|,
4B201_20		 V |DNF|DNF	1,23,42	,||,refound?
4B202		 V |DNF|DNF	0,,	,|nf|,
4B203	moved F to 4B203_20	 V |DNF|DNF	,,	,|nf|,
4B203_20		 V |DNF|DNF	1,9,11	,||,refound?
4B204	moved F to 4B204_20	 V |DNF|DNF	,,	,|nf|,
4B204_20		 V |DNF|DNF	2,9,26	,||,refound?
4B205		 V |DNF|DNF	,,	,||,
4B206		 V | V |DNF	0,,	,|chewed, ts|,chew death
4B207		 V |DNF|DNF	0,,	,|nf|,
4B208		 V |DNF|DNF	0,,	,|nf|,
4B209		DNF|DNF|DNF	0,,	,|nf|,
4B210		 V |DNF|DNF	0,,	,|nf|,
4B211		 V | V | F 	1,,	,||,
4B212		 V | V |DNF	0,,	,|upper right|,died and nf?
4B213		 V | V | V 	2,14,29	,||,
4B214		 V | V | V 	2,20,40	,||,
4B594		 V | V | F 	1,,	,||tagged in 2020,
4B596		 V | V | F 	1,,	,||tagged in 2020,
4B680	No dead stalk	 V | V | F 	1,,	,||tagged in 2020,
4C104		 V | V |DNF	0,,	,||,died and nf?
4C105		 V | V | V 	1,,5	,||,
4C106		 V | V | V 	0,,	,||,died and nf?
4C107		 V | V | V 	1,9,31	,|chewed, ts|,regrew?
4C108		 V | V | V 	1,12,21	,||,
4C109		 V | F |DNF	0,,	,||,
4C110		 V | V | F 	,,	,||,
4C111		 V | F |DNF	0,,	,||,died and nf?
4C112		 V | V |TNF	,,	,||,
4C113		 V |DNF|DNF	0,,	,|nf|,
4C114		 V | F |DNF	0,,	,|chewed, ts|,chew death
4C115		 V | F |DNF	,,	,||,
4C116	recheck - says 3 rosettes but 4 entries	 V | V | V 	2,10,33	,||,
4C117		 V |DNF|DNF	0,,	,|nf|,
4C118		 F |DNF|DNF	0,,	,|nf|,
4C119		 F |DNF|DNF	0,,	,|nf|,
4C120		 V | V | F 	1,,3	,|nf|,refound?
4C121	recheck - says 3 rosettes but 2 entries	 V | V | V 	1,19,31	,|chewed|,regrew?
4C122		 V | V | V 	3,14,34	,||,
4C123		 V | V | V 	1,,3	,|chewed|,regrew?
4C187		 V | V | F 	2,,	,|ts|,
4C188		 V | V |DNF	0,,	,||,died and nf?
4C189		 V | V |DNF	0,,	,||,died and nf?
4C190		 V | V | V 	1,21,58	,||,
4C191		 V | V | V 	1,9,35	,|bottom right of tag|,
4C192		 V | V | F 	5,,	,||,
4C193		 V | V | V 	1,14,31	,||,
4C194		 V | V | V 	1,5,12	,||,
4C195		 V | V | F 	2,,	,||,
4C196		 V | V | F 	3,,1	,||,
4C197		 V | V |TNF	,,	Tag up from plant,|Tag up from plant|,
4C198		 V | V |TNF	,,	,||,
4C199		 V | F |DNF	0,,	,||,
4C200		 V | V | F 	1,,	,||,
4C213	found circle tag not on sheet - recheck, might be new plant, 1 dead stalk nearby		,,	,||,
4C27		 V |DNF|DNF	0,,	,gone|nf|,
4C28	changed from TNF to O	 V |DNF|DNF	,,	,|nf|,
4C28_20		 V |DNF|DNF	2,17,57	,||,refound?
4C29		 V |DNF|DNF	,,	,|nf|,
4C30		 V | V |DNF	0,,	,||,died and nf?
4C31		 V |DNF|DNF	0,,	,gone|nf|,
4C32		 V | F |DNF	,,	,||,
4C33		 V | V | V 	2,6,45	,||,
4C34		 V | V | V 	5,9,47	DL. JP checked 72 mm against scan, OK,||,
4C35		 V | F |DNF	0,,	,||,died and nf?
4C36		 V | F |DNF	0,,	,||,
4C625	tag loose	 V | V |DNF	0,,	,||,died and nf?
4C626		 V | V | V 	1,27,38	,||,
4C627		 V | V | V 	2,13,40	,||,
4C628		 V |DNF|DNF	0,,	shriveled,gone|nf|,
4C629		 V | V | V 	1,10,36	,||,
4C630		 V | V | V 	1,6,49	,||,
4C631		 V | V |DNF	0,,	,||,
4C632		 V | V | V 	1,8,32	,||,flowered and lived?
4C633		 V | V | V 	2,21,40	,|split under|,
4C634		 V |DNF|DNF	0,,	,|nf|,
4C635		 V |DNF|DNF	0,,	shriveled,|nf|,
4C636		 V |DNF|DNF	0,,	,|nf|,
4C637		 V |DNF|DNF	0,,	,|nf|,
4C638		 V |DNF|DNF	0,,	,|nf|,
4C639		 V | V | V 	1,19,54	,||,
4C640		 V | V | V 	1,6,26	,||,
4C641		 V | F | F 	1,,	,|near 4C|outside plot,
4C642		 V | F |DNF	0,,	,|near 4C|outside plot,
4C643		 V | F |DNF	0,,	,|near 4C|outside plot,
4C644		 V | F |DNF	0,,	,||,
4D26		 F |DNF|DNF	0,,	,|nf|,
4D27		 V | V |TNF	,,	,|chewed|,
4D28		 V | V | V 	3,8,36	,||,
4D29		 F |DNF|DNF	0,,	,|nf|,
4D30	root found	 V | V | V 	2,14,42	,||,
4D31		 F |DNF|DNF	0,,	,|dead|,
4D32		 V | V | V 	2,5,32	,||,
4D33		 F | V |DNF	0,,	,||,died and nf?
4D34		 F | V |DNF	0,,	,|eaten|,
4D35		 F | F | V 	1,23,46	,||,flowered and lived?
4D36		 F |DNF|DNF	0,,	,|dead|,
4D37		 V | V | F 	3,,	,||,
4D38		 V | V |DNF	0,,	,|plant above tag|,died and nf?
4D39		 V |TNF|NA 	,,	,|tag not found|,
4D40		 F |DNF|DNF	0,,	,|nf|,
4D41	Other V plants nearby	 V | V | F 	1,,	,fly poop covering plant at base, dried up||,
4D42		 V | V |DNF	0,,	,fly poop covering plant at base, dried up|upper right of tag|,died and nf?
4D43		 V | F | V 	1,7,22	,||,flowered and lived?
4D44		 F | V | V 	2,10,31	,||,
4D45		 F | V |DNF	0,,	,||,died and nf?
4D46		 V | F |DNF	0,,	,||,
4D47		 V | V | F 	2,,	,||,
4D48		 V |DNF|DNF	0,,	,2 other rosettes eaten|nf|,
4D49	Other V plants nearby	 V | V | F 	1,,	,not sure which plant to measure.||,
4D50		 V | V |DNF	0,,	,gone|eaten|,chew death
4D51		 V | V |DNF	0,,	,||,died and nf?
4D52		 V | V | F 	2,,	,||,
4D53		 V | F |DNF	0,,	,|eaten|,chew death
4D54		 V | F | V 	1,6,11	,||,flowered and lived?
4D55		 V | V |DNF	0,,	,||,died and nf?
4D56		 V | V |DNF	0,,	,|1 rosette eaten|,chew death
4D57		 V | V |DNF	0,,	,||,died and nf?
4D58	Possibly new plant	 V | F |DNF	0,,	,||,
4D59		 V |DNF|DNF	0,,	,dried up|dead|,
4D60		 V | F |DNF	0,,	,||,
4D61		 V | F |DNF	,,	,||,
4D62		 V | F |DNF	0,,	,||,
4D66		 V |NA |DNF	0,,	,||,check tag #
5A121		 V |TNF|NA 	,,	,|tagnf|,
5A171		 V | V |TNF	,,	,|ts|,
5A172		 V |DNF|DNF	,,	,|nf|,
5A173		 F | V |DNF	0,,	,flowering plant|6ts|,
5A174		 V |DNF|DNF	0,,	,|nf|,
5A175		 F |DNF|DNF	0,,	,|nf|,
5A176		 F |DNF|DNF	0,,	more rosettes?,|nf|,
5A177		 V |DNF|DNF	,,	,|nf, tag is out of plot|,
5A178		 V | V |DNF	0,,	,||,
5A179		 V | F |DNF	0,,	,||,
5A180		 F | V | F 	0,,	,|above tag|,rosettes? flowering?
5A181		 F |DNF|DNF	0,,	,|nf|,
5A182		 F |DNF|DNF	,,	,|tagnf|,
5A183		 V | F |DNF	0,,	missing,||,
5A184		 V |DNF|DNF	0,,	,gone|tagnf|,tagnf last year
5A185		 V | V | F 	1,,	,plant right of tag||,
5A186		 V |DNF|DNF	0,,	,|nf|,
5A187		 V |DNF|DNF	0,,	,|nf|,
5A188		 V |DNF|DNF	0,,	,gophered|nf|,
5A189		 F | V | F 	1,,	,|below tag|,
5A190		 V |TNF|NA 	,,	,|tagnf|,
5A191		 V | V | F 	2,,	,|plant above tag|,
5A192		 V | V |DNF	0,,	,|plant right of tag|,
5A193		 V | F |DNF	0,,	,||,
5A194		 V | V | V 	0,,	,|nf|,
5A195		 V | F | V 	,,	,||,
5A196		 V | F | F 	2,,	,||,flowered twice?
5A197		 V | V | V 	1,12,27	,||,
5A198		 V | V |TNF	,,	,||,
5A199		 V |DNF|DNF	0,,	,|nf|,
5A200		 V | F |DNF	0,,	,|plant up from tag|,
5A201		 V | F |DNF	0,,	,||,
5A202		 V | F | F 	1,,	,||,flowered twice?
5A203		 V | F |DNF	0,,	,||,
5B1		 V | F |DNF	0,,	,||,
5B10	recheck - says 1 rosette but 3 entries	 V | V | V 	3,12,33	,|ts|,
5B11		 V | V |DNF	0,,	,1 is eaten down to munched leaf.|ts|,
5B12		 V | V | F 	1,,	,|up from tag|,
5B13		 V | F |DNF	0,,	,plant mangled||,
5B14		 F |DNF|DNF	,,	,|nf|,
5B15		 F | V |DNF	0,,	,||,
5B16		 V | V | F 	1,,	,||,
5B17		 V | F |DNF	0,,	,||,
5B18	cluster of seedlings nearby	 V | V | V 	1,19,57	,|ts|,
5B19		 V | F | V 	1,6,19	,could look like 1 big rosette||,flowered and lived?
5B2		 V |DNF|DNF	0,,	,|dead|,
5B20		 V | V | F 	1,,	,||,
5B21		 V | F |DNF	0,,	,||,
5B22		 F |DNF|DNF	0,,	,|dead|,
5B23		 F |DNF|DNF	0,,	,|tagnf|,tagnf last year
5B24		 V |TNF|NA 	,,	,|tagnf|,
5B25		 V |TNF|NA 	,,	,|tagnf|,
5B26		 V | F |DNF	,,	,||,
5B27		 V | F |DNF	0,,	,||,
5B28		 V | F |DNF	0,,	,||,
5B284		 F |DNF|DNF	0,,	,|nf|,
5B287		 V | V |NA 	,,	,1 eaten, only 3 measurable|nf|,
5B288		 V | V | F 	2,,	closer plant to tag on right of tag,2 plants not sure which to measure|closer plant to tag on right of tag|,
5B289		 V | V | F 	1,,	,|left of tag|,
5B29		 V | F |DNF	0,,	,||,
5B290		 V | F |DNF	0,,	,|ts|,
5B291		 V | V |DNF	0,,	,||,
5B292		 F |DNF|DNF	0,,	,flowering plant|dead|,
5B293		 V | V | F 	1,,	,|ts, left of tag|,
5B294		 F |DNF|DNF	0,,	2 flowering stalks,|dead|,
5B295		 V | V | V 	1,24,52	,||,
5B296		 V | V | F 	1,,	,||,
5B297		 V | V |DNF	0,,	,|ts|,
5B298		 V |DNF|DNF	0,,	,|nf|,
5B299		 V | V | F 	1,,	,|ts|,
5B3		 V | F |DNF	0,,	,||,
5B30		 V | F |DNF	0,,	,||,check tag #
5B300		 V | V | F 	2,,	,|ts|,
5B301		 V | F |DNF	0,,	,||,
5B31		 V | F |DNF	0,,	,||,
5B32		 F |DNF|DNF	0,,	,||,check tag #
5B4		 V | V | F 	1,,	,||,
5B5		 V | V | F 	2,,	,||,
5B6		 V | F |DNF	0,,	,||,
5B7		 F | V | V 	1,,41	,|ts|,count leaves
5B8		 F |DNF|DNF	0,,	,|nf|,
5B88_20		NA |NA | F 	3,,	,||,check tag #
5B9		 V | V | V 	0,,	,||,
5C201		 V | F |DNF	0,,	,||,
5C202		 V | V | F 	1,,	,||,
5C203		 V | V | V 	1,30,56	,|2ts|,
5C204		 V |DNF|DNF	0,,	,|nf|,
5C205		 F |DNF|DNF	,,	,|dead|,
5C206		 F |DNF|DNF	0,,	needs counting and length,|dead|,
5C207		 V | V | F 	1,,	,||,
5C208		 V | V | F 	1,,	,||,
5C209		 V | F |DNF	0,,	,||,
5C210		 V | V | V 	1,20,38	,||,
5C211		 V | V | F 	1,,	,|below tag|,
5C212		 F | V | V 	1,17,41	,||,
5C213		 F |DNF|DNF	,,	,flowering plant|nf|,
5C214		 V | F |DNF	0,,	,||,
5C215		 F |DNF|DNF	0,,	,|dead|,
5C216		 F |DNF|DNF	0,,	,|nf|,
5C217		 V | F | F 	2,,	,dried up|right of tag|,flowered twice?
5C218		 V | V |DNF	0,,	,|above tag|,died and nf?
5C219		 V | V |DNF	0,,	,||,died and nf?
5C220		 F |DNF|DNF	0,,	,|dead|,
5C221		 F | V | F 	3,,	,||,
5C222		 F |DNF|DNF	0,,	,flowering plant|nf|,
5C223	recheck - count stalks and rosettes	 V | V | V 	1,17,43	,|nf|,refound?
5C224		 V | V | F 	1,,	,||,
5C225		 V | V | F 	1,,	,|nf|,refound?
5C226		 V | V | V 	2,8,26	,||,
5C227		 V | V | V 	1,22,24	,|ts|,
5C228		 V | F |DNF	0,,	,||,
5C229		 V | F |DNF	0,,	,|right of tag|,
5C231_20		NA |NA |TNF	,,	,||,
5C683		 V | V | F 	1,,	,||tagged in 2020,
5D228		 F | F |DNF	0,,	,||,
5D229		 V |TNF|NA 	,,	,|tagnf|,
5D230		 V | F | F 	1,,	,||,flowered twice?
5D231		 F |DNF|DNF	,,	,|dead|,
5D232		 F |DNF|DNF	0,,	,flowering plant|dead|,
5D233		 V | V |DNF	0,,	,||,
5D234		 V | F |DNF	0,,	,||,
5D235		 V | V | V 	1,18,41	,closest plant to tag, UL||,
5D236		DNF|DNF|DNF	,,	,|nf|,
5D237		 V |DNF|DNF	0,,	,|dead|,
5D238		 V | V |DNF	0,,	,||,died and nf?
5D239		 V | F |DNF	0,,	,||,
5D240		 V | F |DNF	0,,	,||,
5D241		 V | F |DNF	0,,	,||,
5D242		 V | V | F 	1,,	,||,
5D243		 V | F |DNF	0,,	,||,
5D244		 V | V | V 	1,12,39	,|above id|,
5D245		 F |DNF|DNF	0,,	,|nf|,
5D246		 V | F |DNF	0,,	,||,
5D247		 V | V | F 	1,,	,|tagnf|,tagnf last year
5D248		 V |DNF|DNF	0,,	,|dead|,
5D249		 V | F |DNF	0,,	,||,died and nf?
5D250		 V | V | F 	1,,	,||,
5D251		DNF|DNF|DNF	,,	,|nf|,
5D251_20	recheck - count stalks and rosettes	DNF|DNF|DNF	2,19,25	,||,refound?
5D252		 V | V | F 	1,,	,||,
5D253		 V | F |DNF	0,,	,||,died and nf?
5D254		DNF|DNF|DNF	,,	,|nf|,
5D254_20		DNF|DNF|DNF	1,16,24	,||,refound?
5D256		 V | F |DNF	0,,	,||,
5D257		 V | F |DNF	0,,	,||,
5D258		 F |DNF|DNF	0,,	needs length,|dead|,
5D259		 V | V |DNF	0,,	,||,
5D260		 F |DNF|DNF	0,,	,gone|dead|,
5D261	NEW ROSETTE V. CLOSE	 V | F |DNF	0,,	,||,
5D262		 V | F |DNF	0,,	,||,
5D263		 V |DNF|DNF	0,,	,|dead|,
5D264		 V | F |DNF	0,,	,||,
5D265		 V |DNF|DNF	0,,	,|dead|,
5D266		 V | F |DNF	0,,	,||,
5D267		DNF|DNF|DNF	0,,	,|nf|,
5D268		 V | V | F 	1,,	,||,
5D269		 V |DNF|DNF	,,	,|dead|,
5D269_20		 V |DNF|DNF	1,,	,||,
5D270		DNF|DNF|DNF	,,	,|nf|,
5D270_20		DNF|DNF|DNF	1,21,34	,||,refound?
5D271		 V | V | V 	2,19,50	,|below tag|,
5D272		 V | F |DNF	0,,	,||,
5D273		 V | V | F 	1,,	,||,
5D274		 V | V | F 	2,,	,||,
5D275		 V | V | F 	1,,	,||,
5D276		 V |DNF|DNF	0,,	,|dead|,
5D277		 V |DNF|DNF	,,	,|nf|,
5D277_20	recheck - count stalks and rosettes	 V |DNF|DNF	2,16,37	,||,refound?
5D278		 V | V | F 	1,,	,|nf|,refound?
5D279	found tag not on sheet - recheck		,,	,||,
5D280	ROSETTE V. CLOSE	 V |DNF|DNF	0,,	,|nf|,
5D281		 V | V | V 	2,8,51	,||,
5D282		 V | F |DNF	0,,	,||,
5D283		 F |DNF|DNF	0,,	,|nf|,
5D284		DNF|DNF|DNF	,,	,|nf|,
5D285		 V | V | V 	2,24,49	,|ts|,
5D286		 V | F |DNF	0,,	,||,
5D287		 V | F |DNF	0,,	,||,
5D288		 V | F |DNF	,,	,||,
5D288_20		 V | F |DNF	0,,	,||,
5D289		 V | F |DNF	0,,	,||,
5D290		 V | F |DNF	0,,	,||,
5D291		 V | F |DNF	0,,	,||,
6A123		 V | F |DNF	0,,	,||,
6A124		 V | F | V 	1,16,35	,||,flowered and lived?
6A125	TAG CAME OUT	 F |DNF|DNF	0,,	,|nf|,
6A126		 V | V | V 	1,25,25	,||,
6A127		 V | V | V 	1,4,5	,kaput|1 ts|,
6A128		 V | V | V 	1,35,46	,||resprouting,
6A129		 V | V | V 	1,16,34	,||,
6A130		 V | V |DNF	0,,	,||,
6A131	recheck - count stalks and rosettes	 V | V |DNF	0,,	check for 2 rosettes,||,
6A132		 V | V |DNF	0,,	,||,
6A133		 F |DNF|DNF	0,,	,|dead|,
6A134		 V | V | V 	1,18,56	,||far from tag,
6A135		 F |DNF|DNF	0,,	,|dead|,
6A136		 V | V | F 	2,,	,||,
6A137		 V |DNF|DNF	0,,	,|dead|,
