plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
1D13_20		 V |DNF|DNF	1,18,45	,||,refound?
1D14		 V | V | F 	,,	,||,
1D15		 V | V |DNF	0,,	,|chewed, ts|,chew death
1D16	JP fixed r1_leaves from 1 > 11 2021-11-09	 V | V | V 	4,4,43	,||,flower or veg?
1D17		 V | V | F 	,,	,|nf|,refound?
1D18		 V | V |DNF	0,,	,|chewed|,
1D19		 V | F |DNF	0,,	,||,
1D2		 V |DNF|DNF	,,	,|nf|,
1D2_20	flowering nearby	 V |DNF|DNF	1,37,31	,||,refound?
1D20		 V | V | F 	1,,	,|chewed|,regrew?
1D21		 V | V | V 	0,,	,||,
1D22		 V |DNF|DNF	0,,	,|nf|,
1D23		 V |DNF|DNF	0,,	,|nf|,
1D24		 V | V | F 	1,,	,|chewed, ts, down left of tag|,regrew?
1D25		 V | V |DNF	0,,	,||,died and nf?
1D26		 V | V |DNF	0,,	,|ts, above plant by 1 inch|,died and nf?
1D27		 V |DNF|DNF	0,,	,|dead|,
1D28		 V | V |DNF	0,,	,||,died and nf?
1D29		 F |DNF|DNF	0,,	,|nf|,
1D3		 V |DNF|DNF	0,,	,|nf|,
1D30		 V |DNF|DNF	0,,	,|nf|,
1D31		 V |DNF|DNF	,,	,|nf|,
1D32		 V |DNF|DNF	,,	,second rosette is closer to 31 tag|nf|,
1D33		 V | V | F 	,,	,||,
1D34		 V | F |DNF	0,,	,||,
1D35		 V | V |TNF	,,	,||,
1D36	tag below plot	 V | V |TNF	,,	,|chewed,ts|,
1D37		 V | V | F 	,,	,||,
1D38		 V |DNF|DNF	0,,	,|tag out, nf|,
1D39	nothing near tag, but vegetative plant farther right (1D39_20)	 V |DNF|DNF	,,	,|nf|,
1D39_20	right of tag	 V |DNF|DNF	1,26,32	,||,refound?
1D4		 V | V | V 	0,,	?,||,
1D40		 V | V | V 	2,15,29	,||,
1D41		 V | V | V 	2,12,40	,||,
1D5	duplicate oval tag, 1 dead stalk	 V | F |DNF	,,	,||,
1D5_20	duplicate can tag	 V | F |DNF	,,	,||duplicate tag,flowered twice?
1D6		 V | V | F 	,,	,||,
1D7		 V | V |TNF	,,	,||,
1D8		 V |DNF|DNF	0,,	,|nf|,
1D9		 V | V | F 	1,,	,||,
2A1	found tag not on sheet - recheck. Written ""2ANew1"". No status - recheck.		,,	,||,
2A158		NA | F |DNF	0,,	,|out side plot|,look outside plot?
2A159		NA |DNF|DNF	0,,	,|nf|,
2A160		NA | V |DNF	0,,	,|L of tag|,died and nf?
2A161		NA |DNF|DNF	0,,	,|nf|,
2A162		NA | V |DNF	0,,	,totally dead|2 ts|,
2A163		 V | V |DNF	0,,	,|ts|,
2A164		NA | V |DNF	0,,	,|ts|,died and nf?
2A165		NA | V |DNF	0,,	could be 5-7 rosettes,|1 ts|,
2A166		NA | V |DNF	0,,	,||,died and nf?
2A167		NA | V |DNF	0,,	,||,
2A168		 F |DNF|DNF	,,	,|nf|,
2A169		 V |TNF|TNF	,,	,|tagnf|,
2A170		NA |DNF|TNF	,,	,|dead|,
2A171		NA |DNF|TNF	,,	,|nf|,
2A172		NA |DNF|DNF	0,,	,|dead|,
2A173		NA |DNF|DNF	0,,	,|nf|,
2A174		NA | V |DNF	0,,	,|above tag, ts|,died and nf?
2A175		NA |DNF|DNF	0,,	,|dead|,
2A176		 V | V | V 	1,27,43	,|nf|,refound?
2A177		NA |TNF|TNF	,,	no plant?,|tagnf|,
2A178		NA |TNF|TNF	,,	no plant?,|tagnf|,
2A189		NA |DNF|DNF	0,,	,|nf|,
2A589	written at bottom of page	 V | V | F 	1,,	,||tagged in 2020,
2A676		NA | V |DNF	0,,	could have 6-7 roseettes,|1 ts|,died and nf?
2A679		NA | F |DNF	0,,	,||,
2A680		NA |DNF|DNF	0,,	,|dead|,
2A681	found tag not on sheet - recheck		,,	,||,
2A682		NA | V |DNF	0,,	,||,died and nf?
2A683		 V |TNF|DNF	0,,	crumbly,||,no data last year
2A684		 V | V | F 	1,,	,||tagged in 2020,
2A685		NA | V | F 	,,	,||,
2A686		 V | F |DNF	0,,	,||,
2A689_20		NA |NA |DNF	0,,	,||,check tag #
2A694	found tag not on sheet - recheck		,,	,||,
2A92		NA |DNF|DNF	0,,	,|nf|,
2A93		NA | V |TNF	,,	,do not see a plant||,
2A94	possibly the same as 2A694 (digit)	NA | V | F 	,,	,||,
2A95		NA | V | V 	1,16,21	,||,
2A96		NA |DNF|DNF	0,,	,|nf|,
2A97		NA | V |TNF	,,	,|ts|,
2A98		NA |DNF|DNF	0,,	,do not see a plant|nf|,
2A99		 V | V | V 	1,15,30	,||,check tag #
2B100		 V |DNF|DNF	0,,	,|dead|,
2B126		 V | V | V 	1,11,30	,|plant down from tag|,
2B129		 F |DNF|DNF	,,	,|nf|,
2B130		 V | F |DNF	,,	,||,
2B131		 V | V | V 	1,26,42	,||,
2B132		 V |TNF|TNF	,,	,|tagnf|,
2B133		 V |DNF|DNF	0,,	,|nf|,
2B134		 V | V | V 	1,8,27	,||,
2B135		 V | V |TNF	,,	,|up from tag|,
2B136		 V |DNF|DNF	,,	,|nf|,
2B136_20		 V |DNF|DNF	1,16,28	,||,refound?
2B137		 V | V | V 	1,24,43	,|nf|,refound?
2B138		 V | V | F 	,,	,||,
2B171_20		NA |NA | V 	1,15,25	,||,check tag #
2B177		 V | F |DNF	0,,	,||,
2B178		 V | V | F 	,,	,|ID ts|,
2B179		 V | V | V 	1,14,34	,||,
