plant	plantid	plotid	plot	subplot	water	water4	year	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	sun_date_normal_mean	melt_offset	seeds	fruits	fruits_split	aborts	fruits_fly_no_seeds	fruits_fly_with_seeds	seeds_fly	fruits_caterpillar	fruits_early_uncountable	flowers_buds	flowers_buds_collected_early	flowers_buds_collected_last	dates
101	4A101	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	7	2	0	22	1	0	0	0	0	10	0	10	3
109	4A109	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	0	0	0	18	0	0	0	0	0	3	0	3	2
110	4A110	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	10	2	9	18	1	0	0	0	0	11	0	11	3
111	6C111	6C	6	C	Control	Mock rainout	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	97	21	29	0	6	0	0	0	0	6	0	6	4
113	6C113	6C	6	C	Control	Mock rainout	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	31	8	5	24	2	0	0	0	0	6	0	6	4
114	4A114	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	27	5	8	15	5	0	0	0	3	22	0	22	3
115	4A115	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	0	0	4	7	2	0	0	0	0	6	0	6	2
116	6C116	6C	6	C	Control	Mock rainout	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	4	2	7	5	3	0	0	0	0	1	0	1	2
12	1D12	1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125	normal	2020-05-04T18:00:00Z	125.66666666666667	-0.6666666666666714	25	6	19	22	0	0	0	0	0	8	0	8	1
12	5B12	5B	5	B	Control	Mock rainout	2020	2020-04-28T20:00:00Z	119	2020-04-28T17:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-6.666666666666671	9	3	16	4	6	0	0	0	0	2	2	0	5
120	4C120	4C	4	C	Control	Control	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	40	8	3	20	3	0	0	0	2	16	1	15	3
120	6B120	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	109	18	54	0	9	0	0	0	0	0	0	0	3
121	4A121	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	0	0	0	16	5	0	0	1	3	8	0	8	2
121	6B121	6B	6	B	Reduction	Reduction	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	0	0	16	0	1	0	0	0	0	0	0	0	1
121	6C121	6C	6	C	Control	Mock rainout	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	33	4	1	5	19	0	0	0	1	2	2	0	2
122	3B122	3B	3	B	Control	Mock rainout	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	0	0	3	0	0	0	0	0	0	0	0	0	1
124	4A124	4A	4	A	Addition	Addition	2020	2020-04-30T19:00:00Z	121	2020-04-28T18:00:00Z	119	Early	119	early	2020-04-28T18:00:00Z	125.66666666666667	-4.666666666666671	11	2	16	17	3	0	0	0	0	0	0	0	3
125	3A125	3A	3	A	Reduction	Reduction	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	32	10	11	16	13	0	0	0	0	2	0	2	4
126	3C126	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	6	2	0	5	0	0	0	0	0	0	0	0	2
131	3C131	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	16	1	0	0	0	0	0	0	0	0	0	0	1
133	3C133	3C	3	C	Addition	Addition	2020	2020-05-04T21:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	126	normal	2020-05-05T18:00:00Z	125.66666666666667	-0.6666666666666714	17	8	1	25	2	0	0	0	0	3	0	3	1
136	6A136	6A	6	A	Control	Control	2020	2020-05-06T18:00:00Z	127	2020-05-05T19:00:00Z	126	Normal	127	normal	2020-05-06T18:00:00Z	125.66666666666667	1.3333333333333286	75	9	20	15	21	0	0	0	0	4	0	4	3
