plantid	plot	other_notes	subplot	flowering	plant	date	rosettes	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	plotid	year	notes	n_rosettes	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_20_fixed	modified	status	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
1B647	1	1 ts	B	n	647	2019-07-02T00:00:00Z	one_or_more	39	29	44	22	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	3				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B648	1	NA	B	y	648	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	NA				NA	vegetative > flowering > dead_nf	vegetative	dead_nf	FALSE	flowering	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B649	1	NA	B	n	649	2019-07-02T00:00:00Z	one_or_more	48	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B650	1	NA	B	n	650	2019-07-02T00:00:00Z	one_or_more	45	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B651	1	dead	B	n	651	2019-07-02T00:00:00Z	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	dead	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B652	1	UL of tag, ts	B	n	652	2019-07-02T00:00:00Z	indist	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	ts	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B653	1	NA	B	n	653	2019-07-02T00:00:00Z	one_or_more	45	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	blank	1				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B654	1	nf	B	blank	654	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	nf	NA				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B655	1	nf	B	blank	655	2019-07-02T00:00:00Z	blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1B	2019	nf	NA				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	FALSE	dead_nf	0	0	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1B656	1	2 ts	B	n	656	2019-07-02T00:00:00Z	one_or_more	48	12	43	10	40	8	31	9	38	11	NA	NA	1B	2019	ts	7				NA	vegetative > vegetative > flowering	vegetative	flowering	FALSE	vegetative	1	1	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
