date_collected	plot	subplot	plant	wet_weight_g	dry_weight_g	trichomes	trichomes_AP	leaf_area_cm2	notes	trichome_density	sla	water_content	location	plotid	plantid	year	round	sla_wet	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
2018-08-15T00:00:00Z	1	C	49	0.02932	0.01026	138	NA	1.115	NA	123.76681614349776	108.67446393762184	0.650068212824011	NA	1C	1C49	2018	2	38.02864938608459		pheno19		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677
2018-08-15T00:00:00Z	1	D	24	0.02144	0.00792	243	NA	0.816	NA	297.79411764705884	103.03030303030303	0.6305970149253731	NA	1D	1D24	2018	2	38.05970149253731				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	1	D	32	0.01877	0.00725	100	NA	0.727	NA	137.5515818431912	100.27586206896551	0.6137453383058071	NA	1D	1D32	2018	2	38.73201917954182				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	1	D	5	0.01822	0.00631	169	NA	0.766	NA	220.6266318537859	121.3946117274168	0.6536772777167947	NA	1D	1D5	2018	2	42.0417124039517		census20 pheno20 floral20 seeds20		NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	1	D	27	0.03172	0.01347	122	NA	1.159	NA	105.26315789473684	86.0430586488493	0.5753467843631778	NA	1D	1D27	2018	2	36.53846153846154				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	2	A	176	0.02487	0.00767	108	NA	0.939	NA	115.01597444089458	122.42503259452411	0.6915963007639727	NA	2A	2A176	2018	2	37.75633293124246				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	A	676	0.02024	0.00775	127	NA	0.792	NA	160.35353535353534	102.19354838709678	0.6170948616600791	NA	2A	2A676	2018	2	39.130434782608695				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	A	164	0.05976	0.02022	448	NA	1.666	NA	268.9075630252101	82.39366963402573	0.6616465863453816	NA	2A	2A164	2018	2	27.878179384203477				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	A	94	0.01841	0.00662	31	NA	0.7	*92 was dried up	44.28571428571429	105.74018126888217	0.6404128191200434	NA	2A	2A94	2018	2	38.02281368821293				NA	no_record > vegetative > flowering	no_record	vegetative	flowering	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
2018-08-15T00:00:00Z	2	B	138	0.02066	0.00711	147	NA	0.703	NA	209.10384068278807	98.87482419127988	0.6558567279767668	NA	2B	2B138	2018	2	34.027105517909				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891
