plot	subplot	plant	seeds	fruits	fruits_split	aborts	fruits_fly_no_seeds	fruits_fly_with_seeds	seeds_fly	fruits_caterpillar	fruits_early_uncountable	flowers_buds_collected_early	flowers_buds_collected_last	notes	plotid	plantid	year	flowers_buds	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	water	water4	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
1	A	236	259	33	10	15	5	0	0	0	0	0	1	NA	1A	1A236	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Addition	Addition	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	103.20513324528179	121.62597520908531
1	A	239	22	2	6	7	18	0	0	2	0	0	10	NA	1A	1A239	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Addition	Addition	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	103.20513324528179	121.62597520908531
1	A	246	78	11	16	13	21	0	0	1	3	0	17	NA	1A	1A246	2019	0				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	FALSE	Addition	Addition	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	103.20513324528179	121.62597520908531
1	A	259	155	26	6	8	3	0	0	0	0	0	1	NA	1A	1A259	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Addition	Addition	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	103.20513324528179	121.62597520908531
1	B	648	0	0	13	1	5	0	0	0	1	0	0	NA	1B	1B648	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1	B	684	131	17	6	3	21	0	0	0	0	0	0	NA	1B	1B684	2019	0				NA	vegetative > flowering > vegetative	vegetative	flowering	vegetative	FALSE	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1	B	657	41	4	5	7	3	0	0	0	0	0	4	NA	1B	1B657	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1	B	670	209	23	2	14	11	0	0	0	0	0	19	NA	1B	1B670	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Control	Control	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1	C	43	147	21	36	32	16	0	0	0	0	0	15	NA	1C	1C43	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Control	Mock rainout	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
1	C	47	51	6	31	0	9	0	0	0	0	0	0	NA	1C	1C47	2019	0				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	Control	Mock rainout	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.75	-0.75	175	227	219	18.420841963803518	26.20513324528178	44.6259752090853
