year,site,plant,type,seeds_est,corolla_length,corolla_width,style_length,anther_max,anther_min,flowers_est,nectar_24_h_ul,redness,snowfall,octmay,junjul,meltday
2001,agg,266,HH,85,31.3,2.8,26.2,28.2,26.8,37,,,563,601,80,137
2001,agg,27,AA,180,27.6,3.5,22,27.5,24.7,55,,,563,601,80,137
2001,agg,108,AT,110,30.1,3,22,28.9,27.7,75,,,563,601,80,137
2001,agg,38,AA,5,,,,,,8,,,563,601,80,137
2001,agg,252,HH,38,32.3,3.5,29.3,30.9,28.4,29,,,563,601,80,137
2001,agg,315,II,109,27.3,3.5,24.6,24.8,22.7,43,,,563,601,80,137
2001,agg,101,AT,180,29.6,3.6,25.1,27.3,26.4,149,,,563,601,80,137
2001,agg,31,AA,655,28.8,3.6,21.6,29.2,25.4,145,,,563,601,80,137
2001,agg,141,TA,81,31.1,3.7,26.7,29,26.4,64,,,563,601,80,137
2001,agg,237,TH,132,33.8,3.5,26.7,29,27.9,93,,,563,601,80,137
2001,agg,121,AT,97,30.5,3.3,26.2,27.4,27.5,69,,,563,601,80,137
2001,agg,251,HH,309,32.2,3.2,24.3,30.6,27.7,101,,,563,601,80,137
2001,agg,51,TT,173,31,3.2,23.7,27,25.9,83,,,563,601,80,137
2001,agg,11,AA,184,27.5,3.7,22.6,28.9,25.1,86,,,563,601,80,137
2001,agg,166,HA,25,31.3,3.4,32.2,29.3,26.4,57,,,563,601,80,137
2001,agg,124,AT,180,27.2,2.6,23.2,24.6,22.7,67,,,563,601,80,137
2001,agg,13,AA,17,24.9,3.5,22.8,25.3,23.1,23,,,563,601,80,137
2001,agg,257,HH,343,30.3,3.4,25.5,28.7,26,108,,,563,601,80,137
2001,agg,37,AA,244,25.5,3.4,21.8,25.6,23,80,,,563,601,80,137
2001,agg,263,HH,245,30.3,2.9,26.4,27.6,25.4,93,,,563,601,80,137
2001,agg,161,HA,136,25.1,3.2,25.8,25.2,23.9,35,,,563,601,80,137
2001,agg,256,HH,83,27.5,3.4,23.3,25.2,23.3,71,,,563,601,80,137
2001,agg,42,AA,112,24.5,3.4,22.8,25.1,23.1,34,,,563,601,80,137
2001,agg,240,TH,162,33.1,3.4,26.6,30,28.7,90,,,563,601,80,137
2001,agg,3,AA,63,27.9,3.6,23.5,27.8,25.4,35,,,563,601,80,137
2001,agg,8,AA,182,25.4,3.7,23.9,26.5,25,31,,,563,601,80,137
2001,agg,263,HH,413,34.1,3,24.6,28.5,26.6,155,,,563,601,80,137
2001,agg,255,HH,91,33.5,2.7,28.6,30.7,28.5,64,,,563,601,80,137
2001,agg,51,TT,344,28.3,2.2,24.1,23.9,23.2,141,,,563,601,80,137
2001,agg,319,II,442,31.2,2.7,24.9,28,25.9,274,,,563,601,80,137
2001,agg,210,HT,384,32.9,2.9,25.7,29,28.1,112,,,563,601,80,137
2001,agg,113,AT,595,31.6,2.9,25.9,29.5,27.6,278,,,563,601,80,137
2001,agg,268,HH,627,33.8,2.9,25.1,29.4,26.7,132,,,563,601,80,137
2001,agg,308,II,246,29.3,3,25.8,27,25.3,72,,,563,601,80,137
2001,agg,268,HH,913,30.6,3.2,24.2,29.4,26.2,213,,,563,601,80,137
2001,agg,63,TT,128,31,2.6,24.7,26.2,25.9,89,,,563,601,80,137
2001,agg,296,II,306,31.3,3.2,25.8,28.6,26.7,73,,,563,601,80,137
2001,agg,97,TT,636,32.1,2.8,27.2,28.9,28.3,151,,,563,601,80,137
2001,agg,156,HA,759,26.7,3,21.8,25,23.3,247,,,563,601,80,137
2001,agg,66,TT,435,37.6,2.9,26.8,32.1,31.6,132,,,563,601,80,137
2001,agg,297,II,529,30.1,3.3,25,26.1,25.5,207,,,563,601,80,137
2001,agg,22,AA,129,27.4,2.9,25.9,26.8,25,81,,,563,601,80,137
2001,agg,199,AH,107,26.7,3.2,20.8,24.7,22.4,49,,,563,601,80,137
2001,agg,228,TH,0,,,,,,10,,,563,601,80,137
2001,agg,63,TT,9,32.6,2.9,29.3,29.4,26.7,7,,,563,601,80,137
2001,agg,150,TA,5,,,,,,7,,,563,601,80,137
2001,agg,262,HH,513,31,2.8,26.1,28.3,27.1,150,,,563,601,80,137
2001,agg,168,HA,377,28.9,3.9,27.1,27.2,25,118,,,563,601,80,137
2001,agg,264,HH,241,28.4,3.2,22.8,25.2,23.4,93,,,563,601,80,137
2001,agg,110,AT,234,31.4,3.2,25.9,28.9,26.6,85,,,563,601,80,137
2001,agg,45,AA,111,28.1,3.3,23.1,27.1,24.9,77,,,563,601,80,137
2001,agg,315,II,7,28.4,3.4,25.2,24.3,22.7,14,,,563,601,80,137
2001,agg,187,AH,312,25.2,3.3,25.1,24.9,23,102,,,563,601,80,137
2001,agg,252,HH,134,29,2.9,23.1,25.4,23.5,54,,,563,601,80,137
2001,agg,258,HH,0,,,,,,9,,,563,601,80,137
2001,agg,45,AA,111,27,3.8,25.5,26.4,24.1,46,,,563,601,80,137
2001,agg,180,AH,426,28.4,2.8,24.2,26.4,25.1,197,,,563,601,80,137
2001,agg,285,II,529,29.1,3.1,23.4,28.1,25.6,161,,,563,601,80,137
2001,agg,320,II,408,32.5,3.5,22.5,29.4,28.2,193,,,563,601,80,137
2001,agg,282,II,83,28.4,3,22.6,26.3,24.5,198,,,563,601,80,137
2001,agg,314,II,9,34.5,3.5,29.4,29.5,27.6,25,,,563,601,80,137
2001,agg,169,HA,195,32.2,3.6,28.4,30,28,81,,,563,601,80,137
2001,agg,26,AA,83,31.3,3.8,26.2,30,27.5,22,,,563,601,80,137
2001,agg,31,AA,221,25.9,3,24.3,24.3,22.2,61,,,563,601,80,137
2001,agg,27,AA,281,24.4,3.2,20.7,22.2,20.8,97,,,563,601,80,137
2001,agg,263,HH,84,33.2,3.2,26.8,29.6,27.8,49,,,563,601,80,137
2001,agg,110,AT,167,,,,,,149,,,563,601,80,137
2002,agg,282,II,114,25.9,3,20.6,22.8,21.8,45,,,400,417,23,115
2002,agg,40,AA,0,30.1,3.7,24.5,29.3,27.4,6,,,400,417,23,115
2002,agg,189,AH,64,28.4,3.2,22.6,25.3,23.9,43,,,400,417,23,115
2002,agg,229,TH,50,30.1,3.1,23.7,25.7,24,44,,,400,417,23,115
2002,agg,63,TT,47,34.2,2.7,28.5,30.7,30.1,52,,,400,417,23,115
2002,agg,254,HH,33,27.6,3.1,24.1,25,23.9,20,,,400,417,23,115
2002,agg,137,TA,28,32.2,3.3,26.4,29.7,28.4,20,,,400,417,23,115
2002,agg,257,HH,0,25.4,2.5,13.8,22.5,20.4,8,,,400,417,23,115
2002,agg,181,AH,0,,,,,,17,,,400,417,23,115
2002,agg,239,TH,36,30.7,2.8,24.2,27.4,25.7,30,,,400,417,23,115
2002,agg,170,HA,38,26.9,3.3,23.4,25.2,23.2,33,,,400,417,23,115
2002,agg,139,TA,187,27.5,3,23.1,27.2,25,153,,,400,417,23,115
2002,agg,264,HH,110,28.7,3.7,26.1,26.5,24.3,91,,,400,417,23,115
2002,agg,258,HH,22,,,,,,35,,,400,417,23,115
2002,agg,103,AT,0,,,,,,13,,,400,417,23,115
2002,agg,27,AA,18,26.4,3.8,21.6,25.4,22.6,13,,,400,417,23,115
2002,agg,120,AT,38,30.9,2.9,27.9,28.6,26.9,42,,,400,417,23,115
2002,agg,14,AA,38,,,,,,24,,,400,417,23,115
2002,agg,112,AT,0,26.4,3.1,21.5,26.7,25.3,0,,,400,417,23,115
2002,agg,261,HH,45,26,2.8,20.4,22.9,21.3,23,,,400,417,23,115
2002,agg,134,TA,10,26,3.4,21.9,23.5,21.9,16,,,400,417,23,115
2002,agg,83,TT,7,25.6,2.8,23.4,22.3,26.2,45,,,400,417,23,115
2002,agg,317,II,27,29.7,3.3,23.7,27,25.2,102,,,400,417,23,115
