source	first_snow	first_100_cm	first_50_cm	first_0_cm	first_snow_day	first_100_cm_day	first_50_cm_day	first_0_cm_day	year	precip_est_mm
billy	2012-11-10T00:00:00Z	2013-03-29T00:00:00Z	2013-04-30T00:00:00Z	2013-05-15T00:00:00Z	315	88	120	135	2013	82.71782607058648
billy	2013-10-29T00:00:00Z	2014-05-02T00:00:00Z	2014-05-18T00:00:00Z	2014-05-26T00:00:00Z	302	122	138	146	2014	44.03193326671642
billy	2014-11-02T00:00:00Z	2015-03-19T00:00:00Z	2015-04-12T00:00:00Z	2015-05-07T00:00:00Z	306	78	102	127	2015	181.2793720583358
billy	2015-11-04T00:00:00Z	2016-03-13T00:00:00Z	2016-05-04T00:00:00Z	2016-05-18T00:00:00Z	308	73	125	139	2016	96.4231298026108
billy	2016-11-17T00:00:00Z	2017-04-18T00:00:00Z	2017-05-11T00:00:00Z	2017-05-24T00:00:00Z	322	108	131	144	2017	62.88887599021087
billy	2017-11-18T00:00:00Z	2018-03-26T00:00:00Z	2018-04-24T00:00:00Z	2018-05-05T00:00:00Z	322	85	114	125	2018	37.1306810328602
billy	2018-11-03T00:00:00Z	2019-05-12T00:00:00Z	2019-05-31T00:00:00Z	2019-06-06T00:00:00Z	307	132	151	157	2019	43.254327381211496
billy	2019-11-20T00:00:00Z	2020-04-18T00:00:00Z	2020-05-01T00:00:00Z	2020-05-08T00:00:00Z	324	109	122	129	2020	100.60276143719977
billy	2020-11-08T00:00:00Z	2021-04-03T00:00:00Z	2021-04-25T00:00:00Z	2021-05-07T00:00:00Z	313	93	115	127	2021	0
streamflow	NA	NA	NA	NA	NA	NA	NA	153	1935	28.86861849937037
streamflow	NA	NA	NA	NA	NA	NA	NA	152	1936	181.37657279402396
streamflow	NA	NA	NA	NA	NA	NA	NA	144	1937	230.26854284514616
streamflow	NA	NA	NA	NA	NA	NA	NA	149	1938	173.50331320328658
streamflow	NA	NA	NA	NA	NA	NA	NA	135	1939	41.11591119607295
streamflow	NA	NA	NA	NA	NA	NA	NA	130	1940	29.160220706434714
streamflow	NA	NA	NA	NA	NA	NA	NA	158	1941	48.503167108369745
streamflow	NA	NA	NA	NA	NA	NA	NA	146	1942	49.66957593662713
streamflow	NA	NA	NA	NA	NA	NA	NA	147	1943	254.7631282385513
streamflow	NA	NA	NA	NA	NA	NA	NA	142	1944	85.63384814122995
streamflow	NA	NA	NA	NA	NA	NA	NA	139	1945	81.16261429957662
streamflow	NA	NA	NA	NA	NA	NA	NA	140	1946	95.45112244572964
streamflow	NA	NA	NA	NA	NA	NA	NA	142	1947	106.3376048427986
streamflow	NA	NA	NA	NA	NA	NA	NA	155	1948	81.25981503526474
streamflow	NA	NA	NA	NA	NA	NA	NA	150	1949	142.49627851877764
streamflow	NA	NA	NA	NA	NA	NA	NA	138	1950	32.56224645551877
streamflow	NA	NA	NA	NA	NA	NA	NA	148	1951	95.35392171004152
streamflow	NA	NA	NA	NA	NA	NA	NA	166	1952	41.796316345889764
streamflow	NA	NA	NA	NA	NA	NA	NA	153	1953	106.33760484279861
streamflow	NA	NA	NA	NA	NA	NA	NA	129	1954	77.66338781480447
streamflow	NA	NA	NA	NA	NA	NA	NA	135	1955	121.40371887445653
streamflow	NA	NA	NA	NA	NA	NA	NA	145	1956	82.71782607058648
streamflow	NA	NA	NA	NA	NA	NA	NA	172	1957	59.9728539195674
streamflow	NA	NA	NA	NA	NA	NA	NA	151	1958	29.257421442122833
streamflow	NA	NA	NA	NA	NA	NA	NA	136	1959	68.72092013149782
streamflow	NA	NA	NA	NA	NA	NA	NA	136	1960	73.5809569159036
streamflow	NA	NA	NA	NA	NA	NA	NA	136	1961	39.46349868937499
streamflow	NA	NA	NA	NA	NA	NA	NA	149	1962	37.1306810328602
streamflow	NA	NA	NA	NA	NA	NA	NA	133	1963	72.51174882333433
streamflow	NA	NA	NA	NA	NA	NA	NA	142	1964	128.11056963693653
streamflow	NA	NA	NA	NA	NA	NA	NA	153	1965	112.65565266252612
streamflow	NA	NA	NA	NA	NA	NA	NA	133	1966	110.71163794876381
streamflow	NA	NA	NA	NA	NA	NA	NA	144	1967	150.9527425236437
streamflow	NA	NA	NA	NA	NA	NA	NA	150	1968	95.64552391710588
streamflow	NA	NA	NA	NA	NA	NA	NA	141	1969	141.23266895483215
streamflow	NA	NA	NA	NA	NA	NA	NA	148	1970	103.51878350784324
streamflow	NA	NA	NA	NA	NA	NA	NA	141	1971	61.042062012136675
streamflow	NA	NA	NA	NA	NA	NA	NA	138	1972	55.598820813602195
streamflow	NA	NA	NA	NA	NA	NA	NA	147	1973	74.94176721553721
streamflow	NA	NA	NA	NA	NA	NA	NA	137	1974	75.13616868691345
