plot	subplot	plant	seeds_total	seeds_early	seeds_fly	fruits	fruits_early	fruits_fly_with_seeds	fruits_fly_no_seeds	fruits_caterpillar	fruits_split	fruits_early_uncountable	aborted_nofruit	fruits_aborted	flowers_buds_aborted	flowers_buds_not_aborted	notes	plotid	plantid	water	snow	water4
1	A	232	13	12	0	6	5	0	1	0	6	1	58	0	0	0	NA	1A	1A232	Addition	Normal	Addition
1	A	234	9	0	0	9	0	0	1	0	1	3	0	0	2	0	NA	1A	1A234	Addition	Normal	Addition
1	A	238	52	5	0	9	1	0	6	0	13	0	29	0	1	0	NA	1A	1A238	Addition	Normal	Addition
1	A	253	39	0	0	5	0	0	3	0	0	0	4	0	0	0	NA	1A	1A253	Addition	Normal	Addition
1	A	678	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	1A	1A678	Addition	Normal	Addition
1	B	99	4	0	0	1	0	0	1	0	4	0	8	2	0	0	NA	1B	1B99	Control	Normal	Control
1	B	655	72	7	0	15	1	0	7	0	3	2	29	8	0	1	NA	1B	1B655	Control	Normal	Control
1	B	664	7	0	0	2	0	0	0	0	0	1	17	3	1	0	NA	1B	1B664	Control	Normal	Control
1	B	665	8	0	0	1	0	0	0	0	0	2	0	1	0	1	NA	1B	1B665	Control	Normal	Control
1	B	675	17	0	0	2	0	0	1	3	16	0	15	2	0	0	NA	1B	1B675	Control	Normal	Control
1	B	678	47	7	0	10	1	0	9	0	0	0	5	1	0	0	NA	1B	1B678	Control	Normal	Control
1	C	50	63	0	0	10	0	0	10	1	19	0	7	0	1	0	NA	1C	1C50	Control	Normal	Mock rainout
1	C	61	0	0	0	0	0	0	0	0	7	0	3	1	0	0	NA	1C	1C61	Control	Normal	Mock rainout
1	C	275	10	0	0	2	0	0	0	1	0	0	0	1	0	0	NA	1C	1C275	Control	Normal	Mock rainout
1	C	279	11	0	0	1	0	0	0	1	1	0	0	0	0	0	NA	1C	1C279	Control	Normal	Mock rainout
1	D	29	167	6	3	25	1	1	2	0	4	2	46	4	3	0	NA	1D	1D29	Reduction	Normal	Reduction
2	A	100	0	0	0	0	0	0	0	0	0	0	6	0	0	0	NA	2A	2A100	Control	Early	Control
2	A	168	0	0	0	0	0	0	0	0	5	2	15	0	0	0	NA	2A	2A168	Control	Early	Control
2	A	171	127	14	3	17	2	2	5	0	1	0	22	5	1	0	NA	2A	2A171	Control	Early	Control
2	A	172	27	0	2	4	0	1	6	0	2	1	22	5	0	1	NA	2A	2A172	Control	Early	Control
2	B	94	87	0	0	12	0	0	1	0	19	0	28	0	0	0	NA	2B	2B94	Control	Early	Mock rainout
2	B	98	94	7	0	12	1	0	1	0	7	0	16	1	2	0	NA	2B	2B98	Control	Early	Mock rainout
2	B	129	24	0	0	3	0	0	2	0	2	0	18	4	0	0	NA	2B	2B129	Control	Early	Mock rainout
2	B	195	25	0	0	6	0	0	2	0	4	0	18	1	0	0	NA	2B	2B195	Control	Early	Mock rainout
2	B	199	34	0	0	7	0	0	2	0	5	1	0	2	0	0	NA	2B	2B199	Control	Early	Mock rainout
2	C	89	104	0	0	9	0	0	1	0	7	0	14	1	0	0	NA	2C	2C89	Reduction	Early	Reduction
2	C	90	40	10	0	11	2	0	3	0	24	0	2	4	0	0	NA	2C	2C90	Reduction	Early	Reduction
2	C	100	14	0	0	4	0	0	5	0	3	1	11	9	0	0	NA	2C	2C100	Reduction	Early	Reduction
2	C	258	0	0	0	0	0	0	0	0	0	0	16	4	0	8	has a stem, no notes on the envelope. Not sure if Bs are aborts or not.	2C	2C258	Reduction	Early	Reduction
2	C	284	0	0	0	0	0	0	0	0	0	1	17	0	0	0	2 envelopes	2C	2C284	Reduction	Early	Reduction
2	C	265	50	0	0	7	0	0	0	0	18	0	29	5	3	0	NA	2C	2C265	Reduction	Early	Reduction
2	C	266	1	0	0	1	0	0	1	0	3	0	3	0	3	0	NA	2C	2C266	Reduction	Early	Reduction
2	C	275	15	0	0	3	0	0	0	0	7	2	23	5	0	0	NA	2C	2C275	Reduction	Early	Reduction
2	C	276	13	0	0	6	0	0	1	0	5	0	22	6	0	0	NA	2C	2C276	Reduction	Early	Reduction
2	C	279	14	7	0	5	3	0	2	0	0	2	0	1	0	0	NA	2C	2C279	Reduction	Early	Reduction
2	C	291	177	0	2	26	0	2	10	0	46	0	48	8	0	0	NA	2C	2C291	Reduction	Early	Reduction
2	C	294	22	0	0	4	0	0	0	0	1	0	25	1	3	0	NA	2C	2C294	Reduction	Early	Reduction
2	D	189	4	0	0	2	0	0	1	0	4	0	35	0	3	0	NA	2D	2D189	Addition	Early	Addition
2	D	200	15	11	0	7	4	0	2	0	10	8	42	1	0	0	NA	2D	2D200	Addition	Early	Addition
2	D	206	74	13	0	12	3	0	4	1	14	8	66	5	1	0	NA	2D	2D206	Addition	Early	Addition
2	D	212	60	14	0	6	2	0	0	1	8	3	20	11	2	0	NA	2D	2D212	Addition	Early	Addition
2	D	218	254	0	0	51	0	0	20	0	34	0	55	4	1	0	NA	2D	2D218	Addition	Early	Addition
3	A	127	53	0	0	8	0	0	7	0	5	0	6	0	0	0	NA	3A	3A127	Reduction	Normal	Reduction
3	A	128	23	12	0	4	2	0	5	0	17	3	30	3	6	1	NA	3A	3A128	Reduction	Normal	Reduction
3	A	135	0	0	0	0	0	0	0	0	3	0	2	0	0	0	NA	3A	3A135	Reduction	Normal	Reduction
3	A	647	0	0	0	0	0	0	0	0	0	0	7	0	0	2	top of plant was broken off	3A	3A647	Reduction	Normal	Reduction
3	B	601	93	0	0	10	0	0	6	0	1	0	37	0	0	0	NA	3B	3B601	Control	Normal	Mock rainout
