year	plotid	plant	plantid	plantid_uncorrected	date	VWC.plant	photosynthesis	conductance	WUE	notes	duplicate	plot	subplot	n_leaves	round	date.sm	date_diff	VWC.sm	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	VWC.sm.year	census	RGR	size
2018	1C	46	1C46	1C46	2018-07-06T00:00:00Z	NA	4.1064495585	0.02611842324	159.012	NA	NA	1	C	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	1.5				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	2.515	19	1.728510621276518	336
2018	1C	52	1C52	1C52	2018-07-03T00:00:00Z	NA	1.495981622	0.02212425666	67.617	NA	NA	1	C	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	1.5				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	2.515	19	NA	594
2018	1C	57	1C57	1C57	2018-07-27T00:00:00Z	NA	4.870760534	0.02337957661	206.799	NA	NA	1	C	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	2.6999999999999997				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	2.515	19	-0.14005509365905114	518
2018	1C	67	1C67	1C67	2018-07-10T00:00:00Z	NA	6.2290055665	0.05400287707	116.263	NA	NA	1	C	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	4.98		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	2.515	19	NA	210
2018	1C	72	1C72	1C72	2018-07-13T00:00:00Z	NA	3.553621036	0.048898550615	74.21	NA	NA	1	C	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	4.98				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Control	Mock rainout	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	2.515	19	NA	703
2018	1D	1	1D1	1D1	2018-07-17T00:00:00Z	NA	17.5261675	0.25434286435	68.882	NA	NA	1	D	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	7.0600000000000005				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	3.6075	19	NA	527
2018	1D	7	1D7	1D7	2018-07-10T00:00:00Z	NA	4.5912356965	0.037051149725	123.787	NA	NA	1	D	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	7.0600000000000005				NA	vegetative > vegetative > tagnf	vegetative	vegetative	tagnf	FALSE	0	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	3.6075	19	0.28852413232023255	933
2018	1D	24	1D24	1D24	2018-07-27T00:00:00Z	NA	6.313014103	0.04818314976	130.428	NA	NA	1	D	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	3.5				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	3.6075	19	NA	551
2018	1D	19	1D19	1D28	2018-07-03T00:00:00Z	NA	10.34867598	0.1093725361	94.952	DRC updated plant number	NA	1	D	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	1.5				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	3.6075	19	NA	1193
2018	1D	32	1D32	1D32	2018-07-13T00:00:00Z	NA	15.312999885	0.36458228495	42.034	NA	NA	1	D	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	7.0600000000000005				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	3.6075	19	NA	528
