year	plotid	plant	plantid_uncorrected	photosynthesis	conductance	WUE	notes	plantid	plot	subplot	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	date	n_leaves	VWC
2018	1D	1	1D1	17.5261675	0.25434286435	68.882	NA	1D1	1	D				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	1D	7	1D7	4.5912356965	0.037051149725	123.787	NA	1D7	1	D				NA	vegetative > vegetative > tagnf	vegetative	vegetative	tagnf	FALSE	0	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	1D	24	1D24	6.313014103	0.04818314976	130.428	NA	1D24	1	D				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	1D	19	1D28	10.34867598	0.1093725361	94.952	DRC updated plant number	1D19	1	D				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	1D	32	1D32	15.312999885	0.36458228495	42.034	NA	1D32	1	D				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	2A	160	2A160	7.7299874605	0.086450314565	89.485	NA	2A160	2	A				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2A	161	2A161	7.9133343125	0.1133732484	70.543	NA	2A161	2	A				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2A	164	2A164	7.0579985815	0.07457474508	95.638	NA	2A164	2	A				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2A	167	2A167	11.74720639	0.084684736245	138.549	NA	2A167	2	A				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
2018	2A	158	2A168	34.252239005	0.24399387545	140.445	DRC updated plant number	2A158	2	A				NA	no_record > flowering > dead_nf	no_record	flowering	dead_nf	FALSE	1	1	Control	Control	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
